Role,Job Title,Employer,Salary,Region,Timestamp,Visa,Essential_Criteria,Desirable_Criteria,Link
ST_Junior,ST2 in Plastic Surgery (Ref: NHS-015-00219),Southern Health & Social Care Trust (Northern Ireland),"£82,000 to £110,000 (Dental Consultant)",Northern Ireland,2026-06-07 18:14:09,Visa Not Required (UK/EU),"GMC Registration with Licence to Practise, MBBS or Equivalent Primary Medical Qualification, 12-Month Internship Completion, IELTS/OET English Proficiency","NHS Trust Experience, Multidisciplinary Team Working, Presentation Skills, Quality Improvement Project, Additional Language Skills",https://www.jobs.nhs.uk/candidate/job/43701716/
ST_Senior,ST4 in Gastroenterology (Ref: NHS-015-00220),Lancashire Teaching Hospitals NHS FT (England),"£65,000 to £85,000 (GP Partner)",England,2026-06-07 18:14:09,Skilled Worker Visa Supported,"GMC Registration with Licence to Practise, MBBS or Equivalent Primary Medical Qualification, 12-Month Internship Completion, IELTS/OET English Proficiency","NHS Trust Experience, Multidisciplinary Team Working, Presentation Skills, Quality Improvement Project, Additional Language Skills",https://www.jobs.nhs.uk/candidate/job/78955478/
SAS,Specialty Doctor in Psychiatry (Ref: NHS-015-00221),NHS Western Isles (Scotland),"£43,923 to £55,329 (ST1-ST3 level)",Scotland,2026-06-08 00:14:09,Tier 2 Sponsorship Available,"GMC Registration with Licence to Practise, MBBS or Equivalent Primary Medical Qualification, 12-Month Internship Completion, IELTS/OET English Proficiency","Previous NHS Experience, Postgraduate Qualification (MRCP/MRCS/MRCGP), QI Project Participation, Teaching Experience, Research Publications",https://www.jobs.nhs.uk/candidate/job/65017632/
Specialist,Specialist Grade in ENT (Ref: NHS-015-00222),Powys Teaching Health Board (Wales),"£32,397 to £37,303 (FY/CT level)",Wales,2026-06-08 04:14:09,Skilled Worker Visa Supported,"GMC Full Registration, Primary Medical Degree, FY1 Competencies, BLS/ILS Certification, Valid Visa (if applicable)","Previous UK Health Sector Placement, Research Methodology Training, Conference Presentations, Teaching Portfolio, QI Leadership",https://www.jobs.nhs.uk/candidate/job/43647066/
GP,Salaried GP Partner (Ref: NHS-015-00223),Business Services Organisation NI (Northern Ireland),"£82,000 to £110,000 (Dental Consultant)",Northern Ireland,2026-06-08 00:14:09,Tier 2 Sponsorship Available,"GMC Registration with Licence to Practise, MBBS or Equivalent Primary Medical Qualification, 12-Month Internship Completion, IELTS/OET English Proficiency","UK Clinical Experience, Audit/Quality Improvement, Teaching Qualification (PGCert Med Ed), Peer-Reviewed Publications, Leadership Experience",https://www.jobs.nhs.uk/candidate/job/16177009/
Dental,Dental Core Trainee DCT1 (Ref: NHS-015-00224),Aintree University Hospital NHS FT (England),"£43,923 to £55,329 (ST1-ST3 level)",England,2026-06-08 00:14:09,Visa Not Required (UK/EU),"GMC Registration, MBBS/BDS, Relevant Specialty Training, MRCP/MRCS or Equivalent, ATLS/ALS","Specialty-Specific Diploma, NHS England Experience, Clinical Governance Knowledge, Mentorship Experience, Grant Funding",https://www.jobs.nhs.uk/candidate/job/68255091/
JCF,Junior Clinical Fellow in Paediatrics (Ref: NHS-016-00225),NHS Lothian (Scotland),"£32,397 to £37,303 (FY/CT level)",Scotland,2026-06-03 14:14:09,Certificate of Sponsorship Provided,"GMC Full Registration, Primary Medical Degree, FY1 Competencies, BLS/ILS Certification, Valid Visa (if applicable)","Previous NHS Experience, Postgraduate Qualification (MRCP/MRCS/MRCGP), QI Project Participation, Teaching Experience, Research Publications",https://www.jobs.nhs.uk/candidate/job/59615899/
SCF,Senior Clinical Fellow in Renal Medicine (Ref: NHS-016-00226),Betsi Cadwaladr University Health Board (Wales),"£82,000 to £110,000 (Dental Consultant)",Wales,2026-06-07 18:14:09,Tier 2 Sponsorship Available,"GMC Registration, Medical Degree recognised by GMC, 24 Months Post-Graduation Clinical Experience, Good Standing Certificate","Specialty-Specific Diploma, NHS England Experience, Clinical Governance Knowledge, Mentorship Experience, Grant Funding",https://www.jobs.nhs.uk/candidate/job/84753896/
Teaching,Simulation Teaching Fellow (Ref: NHS-016-00227),Southern Health & Social Care Trust (Northern Ireland),"£45,000 to £65,000 (GP Salaried)",Northern Ireland,2026-06-07 18:14:09,Limited Sponsorship - Apply Early,"GMC Registration, MBChB or Equivalent, Foundation Programme Completion, ALS Certificate, Right to Work in UK","Previous UK Health Sector Placement, Research Methodology Training, Conference Presentations, Teaching Portfolio, QI Leadership",https://www.jobs.nhs.uk/candidate/job/20159056/
TrustGrade,Senior Trust Grade Doctor (Ref: NHS-016-00228),Alder Hey Children's NHS FT (England),"£32,397 to £37,303 (FY/CT level)",England,2026-06-06 14:14:09,Visa Not Required (UK/EU),"GMC Registration, MBBS/BDS, Relevant Specialty Training, MRCP/MRCS or Equivalent, ATLS/ALS","NHS Trust Experience, Multidisciplinary Team Working, Presentation Skills, Quality Improvement Project, Additional Language Skills",https://www.jobs.nhs.uk/candidate/job/34785159/
LAS,LAS ST1 in General Surgery (Ref: NHS-016-00229),NHS Fife (Scotland),"£52,530 to £78,274 (SAS/Specialist level)",Scotland,2026-06-06 14:14:09,Skilled Worker Visa Supported,"GMC Registration, MBBS/BDS, Relevant Specialty Training, MRCP/MRCS or Equivalent, ATLS/ALS","UK Clinical Experience, Audit/Quality Improvement, Teaching Qualification (PGCert Med Ed), Peer-Reviewed Publications, Leadership Experience",https://www.jobs.nhs.uk/candidate/job/24096255/
Locum,Locum GP Sessional (Ref: NHS-016-00230),Powys Teaching Health Board (Wales),"£55,329 to £71,589 (ST4-ST8 level)",Wales,2026-06-07 12:14:09,Skilled Worker Visa Supported,"GMC Registration with Licence to Practise, MBBS or Equivalent Primary Medical Qualification, 12-Month Internship Completion, IELTS/OET English Proficiency","UK Clinical Experience, Audit/Quality Improvement, Teaching Qualification (PGCert Med Ed), Peer-Reviewed Publications, Leadership Experience",https://www.jobs.nhs.uk/candidate/job/41971844/
FY1,FY1 in Surgery (Ref: NHS-016-00231),Business Services Organisation NI (Northern Ireland),"£45,000 to £65,000 (GP Salaried)",Northern Ireland,2026-06-05 14:14:09,Certificate of Sponsorship Provided,"GMC Registration, MBChB or Equivalent, Foundation Programme Completion, ALS Certificate, Right to Work in UK","UK Clinical Experience, Audit/Quality Improvement, Teaching Qualification (PGCert Med Ed), Peer-Reviewed Publications, Leadership Experience",https://www.jobs.nhs.uk/candidate/job/19600728/
FY2,FY2 in Emergency Medicine (Ref: NHS-016-00232),Manchester University NHS FT - Wythenshawe (England),"£43,923 to £55,329 (ST1-ST3 level)",England,2026-06-03 14:14:09,Limited Sponsorship - Apply Early,"GMC Registration, MBChB or Equivalent, Foundation Programme Completion, ALS Certificate, Right to Work in UK","Previous NHS Experience, Postgraduate Qualification (MRCP/MRCS/MRCGP), QI Project Participation, Teaching Experience, Research Publications",https://www.jobs.nhs.uk/candidate/job/38243424/
CT,Core Trainee CT2 in Pathology (Ref: NHS-016-00233),NHS Borders (Scotland),"£32,397 to £37,303 (FY/CT level)",Scotland,2026-06-03 14:14:09,Certificate of Sponsorship Provided,"GMC Registration with Licence to Practise, MBBS or Equivalent Primary Medical Qualification, 12-Month Internship Completion, IELTS/OET English Proficiency","UK Clinical Experience, Audit/Quality Improvement, Teaching Qualification (PGCert Med Ed), Peer-Reviewed Publications, Leadership Experience",https://www.jobs.nhs.uk/candidate/job/85410152/
ST_Junior,ST1 in General Surgery (Ref: NHS-016-00234),Betsi Cadwaladr University Health Board (Wales),"£35,000 to £55,000 (Dental Trainee)",Wales,2026-06-01 14:14:09,Visa Not Required (UK/EU),"GMC Registration, MBBS/BDS, Relevant Specialty Training, MRCP/MRCS or Equivalent, ATLS/ALS","UK Clinical Experience, Audit/Quality Improvement, Teaching Qualification (PGCert Med Ed), Peer-Reviewed Publications, Leadership Experience",https://www.jobs.nhs.uk/candidate/job/96504005/
ST_Senior,ST8 in Geriatric Medicine (Ref: NHS-016-00235),Southern Health & Social Care Trust (Northern Ireland),"£32,397 to £37,303 (FY/CT level)",Northern Ireland,2026-06-06 14:14:09,Tier 2 Sponsorship Available,"GMC Full Registration, Primary Medical Degree, FY1 Competencies, BLS/ILS Certification, Valid Visa (if applicable)","Previous UK Health Sector Placement, Research Methodology Training, Conference Presentations, Teaching Portfolio, QI Leadership",https://www.jobs.nhs.uk/candidate/job/45727171/
SAS,Specialty Doctor in Paediatrics (Ref: NHS-016-00236),Tameside & Glossop Integrated Care NHS FT (England),"£45,000 to £65,000 (GP Salaried)",England,2026-06-03 14:14:09,Limited Sponsorship - Apply Early,"GMC Registration, Medical Degree recognised by GMC, 24 Months Post-Graduation Clinical Experience, Good Standing Certificate","NHS Trust Experience, Multidisciplinary Team Working, Presentation Skills, Quality Improvement Project, Additional Language Skills",https://www.jobs.nhs.uk/candidate/job/31879493/
Specialist,Specialist Grade in Dermatology (Ref: NHS-016-00237),NHS Shetland (Scotland),"£45,000 to £65,000 (GP Salaried)",Scotland,2026-06-01 14:14:09,Visa Not Required (UK/EU),"GMC Registration, MBBS/BDS, Relevant Specialty Training, MRCP/MRCS or Equivalent, ATLS/ALS","Previous UK Health Sector Placement, Research Methodology Training, Conference Presentations, Teaching Portfolio, QI Leadership",https://www.jobs.nhs.uk/candidate/job/63276652/
GP,Salaried GP Partner (Ref: NHS-016-00238),Powys Teaching Health Board (Wales),"£65,000 to £85,000 (GP Partner)",Wales,2026-06-05 14:14:09,Tier 2 Sponsorship Available,"GMC Registration, MBChB or Equivalent, Foundation Programme Completion, ALS Certificate, Right to Work in UK","Previous NHS Experience, Postgraduate Qualification (MRCP/MRCS/MRCGP), QI Project Participation, Teaching Experience, Research Publications",https://www.jobs.nhs.uk/candidate/job/33956543/
Dental,Consultant in Restorative Dentistry (Ref: NHS-016-00239),Business Services Organisation NI (Northern Ireland),"£35,000 to £55,000 (Dental Trainee)",Northern Ireland,2026-06-03 14:14:09,Skilled Worker Visa Supported,"GMC Registration, MBBS/BDS, Relevant Specialty Training, MRCP/MRCS or Equivalent, ATLS/ALS","Specialty-Specific Diploma, NHS England Experience, Clinical Governance Knowledge, Mentorship Experience, Grant Funding",https://www.jobs.nhs.uk/candidate/job/68938549/
JCF,Junior Clinical Fellow in General Medicine (Ref: NHS-017-00240),Pennine Care NHS FT (England),"£88,364 to £119,133 (Consultant level)",England,2026-06-01 14:14:09,Tier 2 Sponsorship Available,"GMC Registration, MBBS/BDS, Relevant Specialty Training, MRCP/MRCS or Equivalent, ATLS/ALS","Specialty-Specific Diploma, NHS England Experience, Clinical Governance Knowledge, Mentorship Experience, Grant Funding",https://www.jobs.nhs.uk/candidate/job/96793800/
SCF,Senior Clinical Fellow in Neurology (Ref: NHS-017-00241),NHS Tayside (Scotland),"£32,397 to £37,303 (FY/CT level)",Scotland,2026-06-03 14:14:09,Limited Sponsorship - Apply Early,"GMC Full Registration, Primary Medical Degree, FY1 Competencies, BLS/ILS Certification, Valid Visa (if applicable)","Previous NHS Experience, Postgraduate Qualification (MRCP/MRCS/MRCGP), QI Project Participation, Teaching Experience, Research Publications",https://www.jobs.nhs.uk/candidate/job/25840472/
Teaching,Medical Education Fellow (Ref: NHS-017-00242),Betsi Cadwaladr University Health Board (Wales),"£43,923 to £55,329 (ST1-ST3 level)",Wales,2026-06-01 14:14:09,Tier 2 Sponsorship Available,"GMC Registration with Licence to Practise, MBBS or Equivalent Primary Medical Qualification, 12-Month Internship Completion, IELTS/OET English Proficiency","NHS Trust Experience, Multidisciplinary Team Working, Presentation Skills, Quality Improvement Project, Additional Language Skills",https://www.jobs.nhs.uk/candidate/job/68932083/
TrustGrade,Trust Grade SHO in Surgery (Ref: NHS-017-00243),Southern Health & Social Care Trust (Northern Ireland),"£82,000 to £110,000 (Dental Consultant)",Northern Ireland,2026-06-01 14:14:09,Skilled Worker Visa Supported,"GMC Registration, MBBS/BDS, Relevant Specialty Training, MRCP/MRCS or Equivalent, ATLS/ALS","Previous UK Health Sector Placement, Research Methodology Training, Conference Presentations, Teaching Portfolio, QI Leadership",https://www.jobs.nhs.uk/candidate/job/62548134/
LAS,LAS ST2 in Emergency Medicine (Ref: NHS-017-00244),Mersey Care NHS FT (England),"£65,000 to £85,000 (GP Partner)",England,2026-06-07 18:14:09,Certificate of Sponsorship Provided,"GMC Registration with Licence to Practise, MBBS or Equivalent Primary Medical Qualification, 12-Month Internship Completion, IELTS/OET English Proficiency","Specialty-Specific Diploma, NHS England Experience, Clinical Governance Knowledge, Mentorship Experience, Grant Funding",https://www.jobs.nhs.uk/candidate/job/27581312/
Locum,Locum GP Sessional (Ref: NHS-017-00245),NHS Ayrshire & Arran (Scotland),"£88,364 to £119,133 (Consultant level)",Scotland,2026-06-06 14:14:09,Tier 2 Sponsorship Available,"GMC Registration with Licence to Practise, MBBS or Equivalent Primary Medical Qualification, 12-Month Internship Completion, IELTS/OET English Proficiency","Previous NHS Experience, Postgraduate Qualification (MRCP/MRCS/MRCGP), QI Project Participation, Teaching Experience, Research Publications",https://www.jobs.nhs.uk/candidate/job/87963209/
FY1,FY1 in Acute Medicine (Ref: NHS-017-00246),Powys Teaching Health Board (Wales),"£45,000 to £65,000 (GP Salaried)",Wales,2026-06-07 18:14:09,Limited Sponsorship - Apply Early,"GMC Registration, MBBS/BDS, Relevant Specialty Training, MRCP/MRCS or Equivalent, ATLS/ALS","Previous NHS Experience, Postgraduate Qualification (MRCP/MRCS/MRCGP), QI Project Participation, Teaching Experience, Research Publications",https://www.jobs.nhs.uk/candidate/job/64091136/
FY2,FY2 in Paediatrics (Ref: NHS-017-00247),Business Services Organisation NI (Northern Ireland),"£45,000 to £65,000 (GP Salaried)",Northern Ireland,2026-06-07 18:14:09,Certificate of Sponsorship Provided,"GMC Registration, MBChB or Equivalent, Foundation Programme Completion, ALS Certificate, Right to Work in UK","Previous NHS Experience, Postgraduate Qualification (MRCP/MRCS/MRCGP), QI Project Participation, Teaching Experience, Research Publications",https://www.jobs.nhs.uk/candidate/job/58790199/
CT,Core Trainee CT1 in Radiology (Ref: NHS-017-00248),Imperial College Healthcare NHS Trust (England),"£45,000 to £65,000 (GP Salaried)",England,2026-06-07 12:14:09,Visa Not Required (UK/EU),"GMC Registration, MBChB or Equivalent, Foundation Programme Completion, ALS Certificate, Right to Work in UK","Previous NHS Experience, Postgraduate Qualification (MRCP/MRCS/MRCGP), QI Project Participation, Teaching Experience, Research Publications",https://www.jobs.nhs.uk/candidate/job/28760352/
ST_Junior,ST1 in Neurosurgery (Ref: NHS-017-00249),NHS Western Isles (Scotland),"£55,329 to £71,589 (ST4-ST8 level)",Scotland,2026-06-05 14:14:09,Limited Sponsorship - Apply Early,"GMC Registration, Medical Degree recognised by GMC, 24 Months Post-Graduation Clinical Experience, Good Standing Certificate","UK Clinical Experience, Audit/Quality Improvement, Teaching Qualification (PGCert Med Ed), Peer-Reviewed Publications, Leadership Experience",https://www.jobs.nhs.uk/candidate/job/10246150/
ST_Senior,ST4 in Gastroenterology (Ref: NHS-017-00250),Betsi Cadwaladr University Health Board (Wales),"£43,923 to £55,329 (ST1-ST3 level)",Wales,2026-06-05 14:14:09,Visa Not Required (UK/EU),"GMC Registration, Medical Degree recognised by GMC, 24 Months Post-Graduation Clinical Experience, Good Standing Certificate","UK Clinical Experience, Audit/Quality Improvement, Teaching Qualification (PGCert Med Ed), Peer-Reviewed Publications, Leadership Experience",https://www.jobs.nhs.uk/candidate/job/75132126/
SAS,Specialty Doctor in Paediatrics (Ref: NHS-017-00251),Southern Health & Social Care Trust (Northern Ireland),"£65,000 to £85,000 (GP Partner)",Northern Ireland,2026-06-07 18:14:09,Visa Not Required (UK/EU),"GMC Registration, MBBS/BDS, Relevant Specialty Training, MRCP/MRCS or Equivalent, ATLS/ALS","NHS Trust Experience, Multidisciplinary Team Working, Presentation Skills, Quality Improvement Project, Additional Language Skills",https://www.jobs.nhs.uk/candidate/job/20537876/
Specialist,Specialist Grade in Dermatology (Ref: NHS-017-00252),Chelsea & Westminster NHS FT (England),"£35,000 to £55,000 (Dental Trainee)",England,2026-06-05 14:14:09,Certificate of Sponsorship Provided,"GMC Registration with Licence to Practise, MBBS or Equivalent Primary Medical Qualification, 12-Month Internship Completion, IELTS/OET English Proficiency","Specialty-Specific Diploma, NHS England Experience, Clinical Governance Knowledge, Mentorship Experience, Grant Funding",https://www.jobs.nhs.uk/candidate/job/75065872/
GP,GP with Special Interest (Ref: NHS-017-00253),NHS Lothian (Scotland),"£88,364 to £119,133 (Consultant level)",Scotland,2026-06-07 12:14:09,Tier 2 Sponsorship Available,"GMC Registration, MBChB or Equivalent, Foundation Programme Completion, ALS Certificate, Right to Work in UK","NHS Trust Experience, Multidisciplinary Team Working, Presentation Skills, Quality Improvement Project, Additional Language Skills",https://www.jobs.nhs.uk/candidate/job/97095300/
Dental,Specialty Dentist in Orthodontics (Ref: NHS-017-00254),Powys Teaching Health Board (Wales),"£88,364 to £119,133 (Consultant level)",Wales,2026-06-03 14:14:09,Tier 2 Sponsorship Available,"GMC Registration, MBBS/BDS, Relevant Specialty Training, MRCP/MRCS or Equivalent, ATLS/ALS","Previous UK Health Sector Placement, Research Methodology Training, Conference Presentations, Teaching Portfolio, QI Leadership",https://www.jobs.nhs.uk/candidate/job/26999151/
JCF,Junior Clinical Fellow in Anaesthetics (Ref: NHS-018-00255),Business Services Organisation NI (Northern Ireland),"£55,329 to £71,589 (ST4-ST8 level)",Northern Ireland,2026-06-05 14:14:09,Limited Sponsorship - Apply Early,"GMC Registration, Medical Degree recognised by GMC, 24 Months Post-Graduation Clinical Experience, Good Standing Certificate","NHS Trust Experience, Multidisciplinary Team Working, Presentation Skills, Quality Improvement Project, Additional Language Skills",https://www.jobs.nhs.uk/candidate/job/84188582/
SCF,Senior Clinical Fellow in Trauma & Orthopaedics (Ref: NHS-018-00256),Cambridge University Hospitals FT (England),"£52,530 to £78,274 (SAS/Specialist level)",England,2026-06-05 14:14:09,Visa Not Required (UK/EU),"GMC Registration, Medical Degree recognised by GMC, 24 Months Post-Graduation Clinical Experience, Good Standing Certificate","Previous UK Health Sector Placement, Research Methodology Training, Conference Presentations, Teaching Portfolio, QI Leadership",https://www.jobs.nhs.uk/candidate/job/57502193/
Teaching,Undergraduate Teaching Fellow (Ref: NHS-018-00257),NHS Fife (Scotland),"£82,000 to £110,000 (Dental Consultant)",Scotland,2026-06-07 12:14:09,Tier 2 Sponsorship Available,"GMC Registration, Medical Degree recognised by GMC, 24 Months Post-Graduation Clinical Experience, Good Standing Certificate","Previous NHS Experience, Postgraduate Qualification (MRCP/MRCS/MRCGP), QI Project Participation, Teaching Experience, Research Publications",https://www.jobs.nhs.uk/candidate/job/46022646/
TrustGrade,Trust Grade Doctor in Psychiatry (Ref: NHS-018-00258),Betsi Cadwaladr University Health Board (Wales),"£32,397 to £37,303 (FY/CT level)",Wales,2026-06-06 14:14:09,Visa Not Required (UK/EU),"GMC Registration, Medical Degree recognised by GMC, 24 Months Post-Graduation Clinical Experience, Good Standing Certificate","Specialty-Specific Diploma, NHS England Experience, Clinical Governance Knowledge, Mentorship Experience, Grant Funding",https://www.jobs.nhs.uk/candidate/job/93134395/
LAS,LAS ST1 in General Surgery (Ref: NHS-018-00259),Southern Health & Social Care Trust (Northern Ireland),"£43,923 to £55,329 (ST1-ST3 level)",Northern Ireland,2026-06-01 14:14:09,Limited Sponsorship - Apply Early,"GMC Registration, MBChB or Equivalent, Foundation Programme Completion, ALS Certificate, Right to Work in UK","Previous UK Health Sector Placement, Research Methodology Training, Conference Presentations, Teaching Portfolio, QI Leadership",https://www.jobs.nhs.uk/candidate/job/12127375/
Locum,Bank Shift Doctor (Ref: NHS-018-00260),Southampton NHS FT (England),"£55,329 to £71,589 (ST4-ST8 level)",England,2026-06-03 14:14:09,Certificate of Sponsorship Provided,"GMC Registration, MBChB or Equivalent, Foundation Programme Completion, ALS Certificate, Right to Work in UK","Specialty-Specific Diploma, NHS England Experience, Clinical Governance Knowledge, Mentorship Experience, Grant Funding",https://www.jobs.nhs.uk/candidate/job/58836262/
FY1,Foundation Year 1 Doctor - Rotational (Ref: NHS-018-00261),NHS Borders (Scotland),"£43,923 to £55,329 (ST1-ST3 level)",Scotland,2026-06-01 14:14:09,Skilled Worker Visa Supported,"GMC Full Registration, Primary Medical Degree, FY1 Competencies, BLS/ILS Certification, Valid Visa (if applicable)","Specialty-Specific Diploma, NHS England Experience, Clinical Governance Knowledge, Mentorship Experience, Grant Funding",https://www.jobs.nhs.uk/candidate/job/71920065/
FY2,Foundation Year 2 Doctor - Rotational (Ref: NHS-018-00262),Powys Teaching Health Board (Wales),"£32,397 to £37,303 (FY/CT level)",Wales,2026-06-05 14:14:09,Skilled Worker Visa Supported,"GMC Registration, MBChB or Equivalent, Foundation Programme Completion, ALS Certificate, Right to Work in UK","NHS Trust Experience, Multidisciplinary Team Working, Presentation Skills, Quality Improvement Project, Additional Language Skills",https://www.jobs.nhs.uk/candidate/job/26610785/
CT,Core Trainee CT3 in Anaesthetics (Ref: NHS-018-00263),Business Services Organisation NI (Northern Ireland),"£32,397 to £37,303 (FY/CT level)",Northern Ireland,2026-06-05 14:14:09,Limited Sponsorship - Apply Early,"GMC Registration, MBBS/BDS, Relevant Specialty Training, MRCP/MRCS or Equivalent, ATLS/ALS","NHS Trust Experience, Multidisciplinary Team Working, Presentation Skills, Quality Improvement Project, Additional Language Skills",https://www.jobs.nhs.uk/candidate/job/52406786/
ST_Junior,ST1 in Cardiothoracic Surgery (Ref: NHS-018-00264),Royal Marsden NHS FT (England),"£52,530 to £78,274 (SAS/Specialist level)",England,2026-06-01 14:14:09,Certificate of Sponsorship Provided,"GMC Registration, MBChB or Equivalent, Foundation Programme Completion, ALS Certificate, Right to Work in UK","Specialty-Specific Diploma, NHS England Experience, Clinical Governance Knowledge, Mentorship Experience, Grant Funding",https://www.jobs.nhs.uk/candidate/job/86389585/
ST_Senior,ST5 in Respiratory Medicine (Ref: NHS-018-00265),NHS Shetland (Scotland),"£35,000 to £55,000 (Dental Trainee)",Scotland,2026-06-01 14:14:09,Skilled Worker Visa Supported,"GMC Full Registration, Primary Medical Degree, FY1 Competencies, BLS/ILS Certification, Valid Visa (if applicable)","Specialty-Specific Diploma, NHS England Experience, Clinical Governance Knowledge, Mentorship Experience, Grant Funding",https://www.jobs.nhs.uk/candidate/job/13497713/
SAS,Specialty Doctor in Emergency Medicine (Ref: NHS-018-00266),Betsi Cadwaladr University Health Board (Wales),"£35,000 to £55,000 (Dental Trainee)",Wales,2026-06-05 14:14:09,Visa Not Required (UK/EU),"GMC Registration, MBBS/BDS, Relevant Specialty Training, MRCP/MRCS or Equivalent, ATLS/ALS","Previous UK Health Sector Placement, Research Methodology Training, Conference Presentations, Teaching Portfolio, QI Leadership",https://www.jobs.nhs.uk/candidate/job/74625693/
Specialist,Specialist Grade in Geriatrics (Ref: NHS-018-00267),Southern Health & Social Care Trust (Northern Ireland),"£32,397 to £37,303 (FY/CT level)",Northern Ireland,2026-06-06 14:14:09,Certificate of Sponsorship Provided,"GMC Registration, Medical Degree recognised by GMC, 24 Months Post-Graduation Clinical Experience, Good Standing Certificate","Specialty-Specific Diploma, NHS England Experience, Clinical Governance Knowledge, Mentorship Experience, Grant Funding",https://www.jobs.nhs.uk/candidate/job/92898127/
GP,Salaried GP Session (Ref: NHS-018-00268),East Lancashire Hospitals NHS Trust (England),"£45,000 to £65,000 (GP Salaried)",England,2026-06-06 14:14:09,Certificate of Sponsorship Provided,"GMC Registration, Medical Degree recognised by GMC, 24 Months Post-Graduation Clinical Experience, Good Standing Certificate","UK Clinical Experience, Audit/Quality Improvement, Teaching Qualification (PGCert Med Ed), Peer-Reviewed Publications, Leadership Experience",https://www.jobs.nhs.uk/candidate/job/77645509/
Dental,Specialty Dentist in Orthodontics (Ref: NHS-018-00269),NHS Tayside (Scotland),"£43,923 to £55,329 (ST1-ST3 level)",Scotland,2026-06-06 14:14:09,Limited Sponsorship - Apply Early,"GMC Registration with Licence to Practise, MBBS or Equivalent Primary Medical Qualification, 12-Month Internship Completion, IELTS/OET English Proficiency","Previous UK Health Sector Placement, Research Methodology Training, Conference Presentations, Teaching Portfolio, QI Leadership",https://www.jobs.nhs.uk/candidate/job/65984310/
JCF,Junior Clinical Fellow in Anaesthetics (Ref: NHS-019-00270),Powys Teaching Health Board (Wales),"£45,000 to £65,000 (GP Salaried)",Wales,2026-06-05 14:14:09,Tier 2 Sponsorship Available,"GMC Registration, MBBS/BDS, Relevant Specialty Training, MRCP/MRCS or Equivalent, ATLS/ALS","UK Clinical Experience, Audit/Quality Improvement, Teaching Qualification (PGCert Med Ed), Peer-Reviewed Publications, Leadership Experience",https://www.jobs.nhs.uk/candidate/job/86223867/
SCF,Senior Clinical Fellow in Trauma & Orthopaedics (Ref: NHS-019-00271),Business Services Organisation NI (Northern Ireland),"£65,000 to £85,000 (GP Partner)",Northern Ireland,2026-06-06 14:14:09,Skilled Worker Visa Supported,"GMC Registration, MBChB or Equivalent, Foundation Programme Completion, ALS Certificate, Right to Work in UK","NHS Trust Experience, Multidisciplinary Team Working, Presentation Skills, Quality Improvement Project, Additional Language Skills",https://www.jobs.nhs.uk/candidate/job/92300690/
Teaching,Undergraduate Teaching Fellow (Ref: NHS-019-00272),Warrington & Halton Hospitals NHS FT (England),"£65,000 to £85,000 (GP Partner)",England,2026-06-07 18:14:09,Limited Sponsorship - Apply Early,"GMC Registration, MBChB or Equivalent, Foundation Programme Completion, ALS Certificate, Right to Work in UK","NHS Trust Experience, Multidisciplinary Team Working, Presentation Skills, Quality Improvement Project, Additional Language Skills",https://www.jobs.nhs.uk/candidate/job/38235980/
TrustGrade,Trust Grade SHO in Surgery (Ref: NHS-019-00273),NHS Ayrshire & Arran (Scotland),"£45,000 to £65,000 (GP Salaried)",Scotland,2026-06-03 14:14:09,Certificate of Sponsorship Provided,"GMC Registration, Medical Degree recognised by GMC, 24 Months Post-Graduation Clinical Experience, Good Standing Certificate","NHS Trust Experience, Multidisciplinary Team Working, Presentation Skills, Quality Improvement Project, Additional Language Skills",https://www.jobs.nhs.uk/candidate/job/98740449/
LAS,LAS ST1 in Medicine (Ref: NHS-019-00274),Betsi Cadwaladr University Health Board (Wales),"£55,329 to £71,589 (ST4-ST8 level)",Wales,2026-06-06 14:14:09,Certificate of Sponsorship Provided,"GMC Registration, MBBS/BDS, Relevant Specialty Training, MRCP/MRCS or Equivalent, ATLS/ALS","Previous UK Health Sector Placement, Research Methodology Training, Conference Presentations, Teaching Portfolio, QI Leadership",https://www.jobs.nhs.uk/candidate/job/23094727/
Locum,Locum Consultant in Emergency Medicine (Ref: NHS-019-00275),Southern Health & Social Care Trust (Northern Ireland),"£52,530 to £78,274 (SAS/Specialist level)",Northern Ireland,2026-06-01 14:14:09,Certificate of Sponsorship Provided,"GMC Registration with Licence to Practise, MBBS or Equivalent Primary Medical Qualification, 12-Month Internship Completion, IELTS/OET English Proficiency","UK Clinical Experience, Audit/Quality Improvement, Teaching Qualification (PGCert Med Ed), Peer-Reviewed Publications, Leadership Experience",https://www.jobs.nhs.uk/candidate/job/23924339/
FY1,FY1 in Acute Medicine (Ref: NHS-019-00276),Wirral University Teaching Hospital NHS FT (England),"£32,397 to £37,303 (FY/CT level)",England,2026-06-06 14:14:09,Certificate of Sponsorship Provided,"GMC Registration, Medical Degree recognised by GMC, 24 Months Post-Graduation Clinical Experience, Good Standing Certificate","Specialty-Specific Diploma, NHS England Experience, Clinical Governance Knowledge, Mentorship Experience, Grant Funding",https://www.jobs.nhs.uk/candidate/job/21343643/
